date,value
2002-03-05T05:00Z,17.2244091
2002-03-06T05:00Z,24.15891266
2002-03-07T05:00Z,28.85647774
2002-03-08T05:00Z,14.98747253
2002-03-09T05:00Z,17.2244091
2002-03-10T05:00Z,13.8690052
2002-03-11T05:00Z,13.8690052
2003-02-19T05:00Z,18.34287834
2003-02-20T05:00Z,16.10594177
2003-02-21T05:00Z,11.63206863
2003-02-22T05:00Z,12.75053692
2003-02-23T05:00Z,14.98747253
2003-02-24T05:00Z,18.34287834
2003-02-25T05:00Z,18.34287834
2003-02-26T05:00Z,19.68503952
2003-02-27T05:00Z,17.2244091
2003-02-28T05:00Z,14.98747253
2003-03-01T05:00Z,14.98747253
2003-03-02T05:00Z,13.8690052
2003-03-03T05:00Z,10.2899065
2003-03-04T05:00Z,12.75053692
2003-03-05T05:00Z,12.75053692
2003-03-06T05:00Z,13.8690052
2003-03-07T05:00Z,13.8690052
2003-03-08T05:00Z,14.98747253
2003-03-09T05:00Z,12.75053692
2003-03-10T05:00Z,13.8690052
2003-03-11T05:00Z,14.98747253
2004-02-20T05:00Z,16.10594177
2004-02-21T05:00Z,18.34287834
2004-02-22T05:00Z,19.68503952
2004-02-23T05:00Z,13.8690052
2004-02-24T05:00Z,12.75053692
2004-02-25T05:00Z,18.34287834
2004-02-26T05:00Z,29.97494507
2004-02-27T05:00Z,19.68503952
2004-02-28T05:00Z,13.8690052
2004-02-29T05:00Z,14.98747253
2004-03-01T05:00Z,14.98747253
2004-03-02T05:00Z,17.2244091
2004-03-03T05:00Z,13.8690052
2004-03-04T05:00Z,13.8690052
2004-03-05T05:00Z,14.98747253
2004-03-06T05:00Z,11.63206863
2004-03-07T05:00Z,17.2244091
2004-03-08T05:00Z,13.8690052
2004-03-09T05:00Z,12.75053692
2004-03-10T05:00Z,12.75053692
2004-03-11T05:00Z,12.75053692
2005-02-19T05:00Z,20.80350876
2005-02-20T05:00Z,21.92197609
2005-02-21T05:00Z,20.80350876
2005-02-22T05:00Z,18.34287834
2005-02-23T05:00Z,12.75053692
2005-02-24T05:00Z,14.98747253
2005-02-25T05:00Z,16.10594177
2005-02-26T05:00Z,13.8690052
2005-02-27T05:00Z,12.75053692
2005-02-28T05:00Z,20.80350876
2005-03-01T05:00Z,12.75053692
2005-03-02T05:00Z,12.75053692
2005-03-03T05:00Z,11.40837479
2005-03-04T05:00Z,12.75053692
2005-03-05T05:00Z,17.2244091
2005-03-06T05:00Z,12.75053692
2005-03-07T05:00Z,12.75053692
2005-03-08T05:00Z,12.75053692
2005-03-09T05:00Z,11.40837479
2005-03-10T05:00Z,11.40837479
2005-03-11T05:00Z,12.75053692
2006-02-19T05:00Z,16.10594177
2006-02-20T05:00Z,22.81674957
2006-02-21T05:00Z,11.40837479
2006-02-22T05:00Z,14.76377964
2006-02-23T05:00Z,12.52684307
2006-02-24T05:00Z,12.52684307
2006-02-25T05:00Z,12.52684307
2006-02-26T05:00Z,15.88224792
2006-02-27T05:00Z,26.17215538
2006-02-28T05:00Z,19.46134567
2006-03-01T05:00Z,14.76377964
2006-03-02T05:00Z,20.80350876
2006-03-03T05:00Z,13.64531136
2006-03-04T05:00Z,14.76377964
2006-03-05T05:00Z,13.64531136
2006-03-06T05:00Z,29.97494507
2006-03-07T05:00Z,22.81674957
2006-03-08T05:00Z,24.15891266
2006-03-09T05:00Z,25.2773819
2006-03-10T05:00Z,21.69828224
2006-03-11T05:00Z,12.52684307
2007-02-19T05:00Z,14.98747253
2007-02-20T05:00Z,14.98747253
2007-02-21T05:00Z,23.04044533
2007-02-22T05:00Z,24.15891266
2007-02-23T05:00Z,14.98747253
2007-02-24T05:00Z,21.92197609
2007-02-25T05:00Z,23.04044533
2007-02-26T05:00Z,26.39584923
2007-02-27T05:00Z,21.92197609
2007-02-28T05:00Z,19.68503952
2007-03-01T05:00Z,18.34287834
2007-03-02T05:00Z,11.40837479
2007-03-03T05:00Z,12.75053692
2007-03-04T05:00Z,14.98747253
2007-03-05T05:00Z,13.8690052
2007-03-06T05:00Z,18.34287834
2007-03-07T05:00Z,12.75053692
2007-03-08T05:00Z,18.34287834
