Unnamed: 0,year,Observed Max Temp,Observed Min Temp,Max Observed Precipitation,month,0,D0,D1,D2,D3,D4,W0,W1,W2,W3,W4,Max Wind Speed,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,Shape__Area,Shape__Length,Damage Inspection Date,Damage,Structure Type,# Units in Structure (if multi unit),Latitude,Longitude,Fuel Moisture Date,PERCENT
49,2002,72.62106323,51.41127014,6.782572569,7/1/02,0.0,99.9,99.9,99.9,99.6,43.1,0.0,0.0,0.0,0.0,0.0,,153545,7/9/02,7/9/02,7.0,64.8705,386159.2305,5259.46068,inaccessible,inaccessible,unknown,1.0,,,7/16/02,70.0
50,2002,72.62106323,51.41127014,6.782572569,7/1/02,0.0,99.9,99.9,99.9,99.6,43.1,0.0,0.0,0.0,0.0,0.0,,137505,7/8/02,7/8/02,7.0,358.8925,2137673.938,13909.70603,inaccessible,inaccessible,unknown,1.0,,,7/2/02,72.0
51,2002,72.62106323,51.41127014,6.782572569,7/1/02,0.0,99.9,99.9,99.9,99.6,43.1,0.0,0.0,0.0,0.0,0.0,,137505,7/8/02,7/8/02,7.0,358.8925,2137673.938,13909.70603,inaccessible,inaccessible,unknown,1.0,,,7/16/02,70.0
52,2002,72.62106323,51.41127014,6.782572569,8/1/02,0.0,100.0,100.0,100.0,100.0,99.8,0.0,0.0,0.0,0.0,0.0,,172482,8/25/02,8/25/02,14.0,159.3011,953560.4805,5672.707694,inaccessible,inaccessible,unknown,1.0,,,8/6/02,63.0
53,2002,72.62106323,51.41127014,6.782572569,8/1/02,0.0,100.0,100.0,100.0,100.0,99.8,0.0,0.0,0.0,0.0,0.0,,172482,8/25/02,8/25/02,14.0,159.3011,953560.4805,5672.707694,inaccessible,inaccessible,unknown,1.0,,,8/20/02,58.0
54,2002,72.62106323,51.41127014,6.782572569,9/1/02,0.0,100.0,100.0,100.0,100.0,94.5,0.0,0.0,0.0,0.0,0.0,,177557,9/1/02,9/3/02,7.0,1028.471,6148273.656,17099.35138,inaccessible,inaccessible,unknown,1.0,,,9/17/02,56.0
55,2002,72.62106323,51.41127014,6.782572569,9/1/02,0.0,100.0,100.0,100.0,100.0,94.5,0.0,0.0,0.0,0.0,0.0,,187107,9/14/02,9/14/02,7.0,1151.388,6870329.41,20642.76573,inaccessible,inaccessible,unknown,1.0,,,9/17/02,56.0
56,2002,72.62106323,51.41127014,6.782572569,9/1/02,0.0,100.0,100.0,100.0,100.0,94.5,0.0,0.0,0.0,0.0,0.0,,180003,9/4/02,9/4/02,14.0,81.99478,488971.1836,5284.571469,inaccessible,inaccessible,unknown,1.0,,,9/17/02,56.0
57,2002,72.62106323,51.41127014,6.782572569,9/1/02,0.0,100.0,100.0,100.0,100.0,94.5,0.0,0.0,0.0,0.0,0.0,,9902,9/9/02,9/11/02,14.0,749.0938,4442023.32,10393.02449,inaccessible,inaccessible,unknown,1.0,,,9/17/02,56.0
58,2002,72.62106323,51.41127014,6.782572569,10/1/02,0.0,100.0,100.0,100.0,100.0,99.4,0.0,0.0,0.0,0.0,0.0,,201324,10/8/02,10/8/02,14.0,108.0377,644749.7656,5426.339138,inaccessible,inaccessible,unknown,1.0,,,10/1/02,59.0
