station,"Weather Station at Los Angeles International Airport, Los Angeles (LAX), California"
variable,Maximum Wind Speed
units,mph
record high,"34.7 on February 22, 1987"
record low,"6.9 on February 21, 2009"

date,value
1999-03-07T05:00Z,14.9874725342
1999-03-08T05:00Z,17.2244091034
1999-03-09T05:00Z,16.1059417725
1999-03-10T05:00Z,18.3428783417
1999-03-11T05:00Z,14.9874725342
2000-02-20T05:00Z,17.2244091034
2000-02-21T05:00Z,11.632068634
2000-02-22T05:00Z,27.7380104065
2000-02-23T05:00Z,24.1589126587
2000-02-24T05:00Z,11.632068634
2000-02-25T05:00Z,16.1059417725
2000-02-26T05:00Z,23.0404453278
2000-02-27T05:00Z,11.632068634
2000-02-28T05:00Z,17.2244091034
2000-02-29T05:00Z,17.2244091034
2000-03-01T05:00Z,20.8035087585
2000-03-02T05:00Z,13.8690052032
2000-03-03T05:00Z,12.7505369186
2000-03-04T05:00Z,29.9749450684
2000-03-05T05:00Z,11.632068634
2000-03-06T05:00Z,14.9874725342
2000-03-07T05:00Z,14.9874725342
2000-03-08T05:00Z,23.0404453278
2000-03-09T05:00Z,14.9874725342
2000-03-10T05:00Z,16.1059417725
2000-03-11T05:00Z,12.7505369186
2001-02-19T05:00Z,13.8690052032
2001-02-20T05:00Z,14.9874725342
2001-02-21T05:00Z,26.3958492279
2001-02-22T05:00Z,18.3428783417
2001-02-23T05:00Z,17.2244091034
2001-02-24T05:00Z,18.3428783417
2001-02-25T05:00Z,14.9874725342
2001-02-26T05:00Z,11.632068634
2001-02-27T05:00Z,11.632068634
2001-02-28T05:00Z,19.6850395203
2001-03-01T05:00Z,16.1059417725
2001-03-02T05:00Z,11.632068634
2001-03-03T05:00Z,17.2244091034
2001-03-04T05:00Z,17.2244091034
2001-03-05T05:00Z,17.2244091034
2001-03-06T05:00Z,12.7505369186
2001-03-07T05:00Z,16.1059417725
2001-03-08T05:00Z,27.7380104065
2001-03-09T05:00Z,13.8690052032
2001-03-10T05:00Z,12.7505369186
2001-03-11T05:00Z,18.3428783417
2002-02-19T05:00Z,12.7505369186
2002-02-20T05:00Z,10.2899065018
2002-02-21T05:00Z,11.632068634
2002-02-22T05:00Z,18.3428783417
2002-02-23T05:00Z,14.9874725342
2002-02-24T05:00Z,12.7505369186
2002-02-25T05:00Z,13.8690052032
2002-02-26T05:00Z,11.632068634
