OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length
1173,2020,CA,CCO,LAC,3 POINTS,00198047,2020-07-05 00:00:00+00:00,2020-07-05 00:00:00+00:00,14.0,1.0,1.0,11.78609,2020,70801.65234375,1043.06249914957
1175,2020,CA,CCO,LAC,JOHNSON,00259152,2020-08-28 00:00:00+00:00,2020-08-29 00:00:00+00:00,10.0,1.0,1.0,291.9492,2020,1750755.3046875,7290.87199216327
1176,2020,CA,CCO,LAC,QUAIL,00306071,2020-10-09 00:00:00+00:00,2020-10-09 00:00:00+00:00,5.0,1.0,1.0,12.85847,2020,77284.2890625,1617.63837654305
1177,2020,CA,CCO,LAC,RAYBURN,00252458,2020-08-22 00:00:00+00:00,2020-08-22 00:00:00+00:00,14.0,1.0,1.0,12.39058,2020,74128.78125,1417.42955084624
1178,2020,CA,CCO,LAC,ACTON,00293564,2020-09-28 00:00:00+00:00,2020-09-28 00:00:00+00:00,9.0,1.0,1.0,13.84105,2020,82643.65625,1485.44842318222
1179,2020,CA,CCO,LAC,SAN DIMAS,00355402,2020-11-06 00:00:00+00:00,2020-11-06 00:00:00+00:00,7.0,7.0,1.0,128.1708,2020,759180.5546875,3681.25802473587
1279,2020,CA,CCO,LAC,ELSMERE,00230295,2020-08-03 00:00:00+00:00,2020-08-03 00:00:00+00:00,14.0,8.0,1.0,159.2057,2020,947991.3671875,8008.7885737042
1404,2020,CA,CCO,LAC,TOPANGA,00216968,2020-07-22 00:00:00+00:00,2020-07-22 00:00:00+00:00,11.0,1.0,1.0,2.614254,2020,15481.3984375,693.288838752859
1405,2020,CA,CCO,LAC,AIRPORT,00149563,2020-05-21 00:00:00+00:00,2020-05-21 00:00:00+00:00,10.0,1.0,1.0,3.001326,2020,17928.3515625,647.712235662552
1406,2020,CA,CCO,LAC,MESA,00207264,2020-07-13 00:00:00+00:00,2020-07-13 00:00:00+00:00,11.0,1.0,1.0,1.250532,2020,7389.67578125,341.164339704946
1407,2020,CA,CCO,LAC,COLIMA,00169545,2020-06-09 00:00:00+00:00,2020-06-09 00:00:00+00:00,14.0,1.0,1.0,6.245241,2020,36841.3125,913.027198090041
1408,2020,CA,CCO,LAC,HASLEY,00171441,2020-06-11 00:00:00+00:00,2020-06-11 00:00:00+00:00,2.0,1.0,1.0,6.671049,2020,39807.84375,1091.07305978108
1409,2020,CA,CCO,LAC,HILL,00163511,2020-06-04 00:00:00+00:00,2020-06-04 00:00:00+00:00,14.0,1.0,1.0,3.485558,2020,20568.64453125,556.023711256184
1410,2020,CA,CCO,LAC,210TH,00198391,2020-07-05 00:00:00+00:00,2020-07-05 00:00:00+00:00,14.0,1.0,1.0,7.067647,2020,42477.21484375,1320.89377392804
1411,2020,CA,CCO,LAC,CALGROVE,00191517,2020-06-30 00:00:00+00:00,2020-06-30 00:00:00+00:00,2.0,1.0,1.0,4.228073,2020,25169.72265625,677.921531194218
1412,2020,CA,CCO,LAC,GROVE,00242462,2020-08-14 00:00:00+00:00,2020-08-14 00:00:00+00:00,14.0,1.0,1.0,1.798941,2020,10619.9140625,613.530621499692
1413,2020,CA,CCO,LAC,TOPANGA,00271897,2020-09-08 00:00:00+00:00,2020-09-08 00:00:00+00:00,10.0,1.0,1.0,6.732281,2020,39790.87890625,861.944455107239
1414,2020,CA,CCO,LAC,PALM,00275442,2020-09-11 00:00:00+00:00,2020-09-11 00:00:00+00:00,14.0,1.0,1.0,8.40679,2020,49643.26953125,935.250203511598
1415,2020,CA,CCO,LAC,NO NAME,00290998,2020-09-26 00:00:00+00:00,2020-09-26 00:00:00+00:00,10.0,1.0,1.0,3.013402,2020,18110.921875,777.324041684401
1416,2020,CA,CCO,LAC,CANYON,00377420,2020-12-13 00:00:00+00:00,2020-12-13 00:00:00+00:00,11.0,1.0,1.0,7.26888,2020,42854.96484375,1243.21599332351
1417,2020,CA,CCO,LAC,BANNING,00385995,2020-12-20 00:00:00+00:00,2020-12-20 00:00:00+00:00,11.0,3.0,1.0,1.529065,2020,8908.9140625,466.336693910691
1467,2020,CA,CCO,LAC,VISTA,00172557,2020-06-12 00:00:00+00:00,2020-06-12 00:00:00+00:00,14.0,4.0,1.0,16.15369,2020,95632.7890625,3240.06921411074
1470,2020,CA,CCO,LAC,PEAK,00238836,2020-08-11 00:00:00+00:00,2020-08-11 00:00:00+00:00,10.0,7.0,1.0,26.72971,2020,158808.44921875,1872.92443606597
1471,2020,CA,CCO,LAC,ROCK POOL,00244876,2020-08-16 00:00:00+00:00,2020-08-17 00:00:00+00:00,14.0,7.0,1.0,92.71667,2020,548603.20703125,4264.61092839376
1472,2020,CA,CCO,LAC,WAVE,00307499,2020-10-10 00:00:00+00:00,2020-10-10 00:00:00+00:00,14.0,4.0,1.0,5.205859,2020,30752.69921875,1214.28639972654
1673,2019,CA,CCO,LAC,TOPANGA 2,Unknown,2019-11-16 00:00:00+00:00,2019-11-16 00:00:00+00:00,14.0,6.0,1.0,3.962995,2010,23451.6171875,680.19556732091
1716,2019,CA,CCO,LAC,LAKE 2,Unknown,2019-08-02 00:00:00+00:00,2019-08-02 00:00:00+00:00,14.0,6.0,1.0,1.006445,2010,5982.30460810661,274.182159948825
1778,2019,CA,CCO,LAC,TICK,Unknown,2019-10-24 00:00:00+00:00,2019-10-31 00:00:00+00:00,14.0,3.0,1.0,4581.739,2010,27336078.6953125,59174.7200961569
1790,2019,CA,CCO,LAC,MUREAU,Unknown,2019-10-30 00:00:00+00:00,2019-10-30 00:00:00+00:00,14.0,7.0,1.0,5.9004,2010,34952.75,963.071018828235
2060,2018,CA,CCO,LAC,RAMBLA,00048048,2018-02-13 00:00:00+00:00,2018-02-13 00:00:00+00:00,11.0,1.0,1.0,0.02526989,2010,149.3515625,62.4067150575034
2061,2018,CA,CCO,LAC,BRIDGE,00118530,2018-04-19 00:00:00+00:00,2018-04-20 00:00:00+00:00,11.0,1.0,1.0,7.767941,2010,46535.18359375,1735.42714048899
2062,2018,CA,CCO,LAC,HEFFNER,00134007,2018-05-04 00:00:00+00:00,2018-05-05 00:00:00+00:00,14.0,1.0,1.0,17.8683,2010,106552.078125,2311.12414602473
2063,2018,CA,CCO,LAC,COMMERCE,00136301,2018-05-06 00:00:00+00:00,2018-05-06 00:00:00+00:00,11.0,1.0,1.0,14.20331,2010,84695.1796875,3047.44235824034
2064,2018,CA,CCO,LAC,SOUTH,00171655,2018-06-09 00:00:00+00:00,2018-06-12 00:00:00+00:00,14.0,7.0,1.0,175.1159,2010,1042451.62890625,4169.41077632081
2065,2018,CA,CCO,LAC,VIEW,00157745,2018-05-27 00:00:00+00:00,2018-05-27 00:00:00+00:00,2.0,1.0,1.0,0.1131595,2010,667.6484375,167.795439282033
2066,2018,CA,CCO,LAC,SUN,00184429,2018-06-21 00:00:00+00:00,2018-06-21 00:00:00+00:00,14.0,1.0,1.0,0.9127468,2010,5428.96875,543.806037284555
2067,2018,CA,CCO,LAC,DULCE,00250407,2018-08-18 00:00:00+00:00,2018-08-18 00:00:00+00:00,15.0,1.0,1.0,9.17901,2010,54783.76953125,2078.39087973815
2068,2018,CA,CCO,LAC,VANTAGE,00273301,2018-09-08 00:00:00+00:00,2018-09-08 00:00:00+00:00,3.0,1.0,1.0,0.1195796,2010,705.2578125,105.789006114859
2069,2018,CA,CCO,LAC,STONE,00166129,2018-06-04 00:00:00+00:00,2018-06-05 00:00:00+00:00,2.0,7.0,1.0,1350.647,2010,8076638.40234375,23581.6876487441
2070,2018,CA,CCO,LAC,QUAIL,00314199,2018-10-16 00:00:00+00:00,2018-10-16 00:00:00+00:00,14.0,1.0,1.0,2.155347,2010,12957.94140625,860.112573530667
2071,2018,CA,CCO,LAC,WELDON,00331818,2018-11-01 00:00:00+00:00,2018-11-01 00:00:00+00:00,2.0,1.0,1.0,0.08640093,2010,514.18359375,97.5897796246284
2072,2018,CA,CCO,LAC,CHARLIE,00288255,2018-09-22 00:00:00+00:00,2018-09-23 00:00:00+00:00,14.0,7.0,1.0,3350.528,2010,20020954.2382812,30913.2829436431
2073,2018,CA,CCO,LAC,MUREAU,00307419,2018-10-10 00:00:00+00:00,2018-10-10 00:00:00+00:00,11.0,1.0,1.0,0.1335966,2010,791.41015625,125.802097341378
2074,2018,CA,CCO,LAC,SANTA MARIA,00330515,2018-10-31 00:00:00+00:00,2018-10-31 00:00:00+00:00,14.0,1.0,1.0,1.347234,2010,7975.60552889109,601.430444495755
2075,2018,CA,CCO,LAC,COPCO,00345491,2018-11-07 00:00:00+00:00,2018-11-14 00:00:00+00:00,9.0,1.0,1.0,6.980345,2010,41912.03125,982.77242084307
