boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,Medium (RCP 4.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2018,72.2378082275,77.7556915283,,77.7253112793,74.0263824463,74.0739593506,76.6851348877
2019,73.8578033447,78.2899017334,,76.5194015503,75.3648529053,76.0666503906,75.3060150146
2020,73.0528869629,80.1532440186,,76.8815155029,74.4017333984,75.593963623,73.4235076904
2021,71.8977279663,78.8227386475,,77.6360473633,74.3663024902,77.2997589111,73.9091033936
2022,73.5540313721,79.7474060059,,74.3973922729,76.2741317749,76.4991912842,77.2415924072
2023,73.1514892578,79.5265197754,,76.2621002197,75.2637176514,75.2333984375,76.5361022949
2024,73.0262451172,78.8296661377,,76.5099487305,75.50756073,76.260345459,77.0564117432
2025,72.6079406738,78.4400863647,,77.7211914062,74.8594818115,77.3682556152,76.6896362305
2026,73.0338745117,79.6271591187,,76.3824615479,74.8788146973,77.4303894043,74.9461593628
2027,73.0220184326,79.1248092651,,76.280670166,75.2491073608,77.151550293,74.1301498413
2028,73.4848632812,78.3443908691,,77.2582321167,75.4743270874,74.861618042,76.7329711914
2029,74.6806793213,78.8899765015,,75.5849609375,76.1688842773,75.7113037109,76.9353942871
2030,73.8602752686,78.6585998535,,77.9765167236,76.4484863281,76.6570587158,77.2134628296
2031,73.9872741699,78.4553070068,,78.4553070068,75.7721710205,76.7748336792,76.4468383789
2032,74.3372421265,78.8900299072,,77.496307373,75.0607452393,75.9711303711,75.4052276611
2033,73.4411468506,79.5774993896,,77.694229126,77.5339355469,75.0110931396,74.7457733154
2034,73.1273193359,79.0257110596,,77.6318206787,76.662109375,78.9291381836,77.7431182861
2035,73.4993743896,79.140625,,76.9957122803,75.1986236572,75.8327560425,78.5807113647
2036,73.5547943115,78.4504089355,,78.127746582,74.9821395874,77.9253234863,77.3641967773
2037,73.7986373901,80.0225067139,,77.66796875,77.0845947266,76.1105957031,77.6119384766
2038,73.9315719604,79.5625610352,,78.8567428589,74.4385375977,75.3987960815,76.1017608643
2039,74.1780548096,79.9409332275,,78.4395370483,75.6189575195,78.0049743652,78.4385528564
2040,73.6364746094,79.5794830322,,76.6453094482,76.9110107422,76.0073242188,77.6333007812
2041,74.2018890381,80.3959274292,,77.9873962402,75.0782165527,77.6229248047,79.5322875977
2042,75.0655822754,80.3791732788,,76.7709884644,76.642288208,76.7434692383,77.3374938965
2043,74.0135803223,79.7796478271,,78.5203399658,76.8900299072,79.2126464844,74.7494506836
2044,74.0338592529,79.5289459229,,77.2601547241,74.5148925781,79.2215423584,76.6590423584
2045,74.6689147949,82.123916626,,78.5297393799,74.7637329102,76.6638183594,79.3726043701
2046,74.0329208374,81.1799621582,,77.1712799072,75.8102874756,76.5021514893,78.0783081055
2047,74.011932373,79.7552642822,,77.0620727539,76.8531112671,77.2616424561,78.4585418701
2048,74.4756698608,80.2819442749,,77.899887085,77.2892684937,78.1085205078,75.9618988037
2049,74.0952682495,79.553604126,,77.6754379272,76.7619781494,76.4630966187,77.069152832
2050,73.5789642334,80.5872039795,,78.7643432617,76.2750701904,77.1865463257,79.3122406006
2051,75.2206573486,80.275352478,,78.4653015137,76.4037704468,78.7680282593,78.5561065674
2052,74.8422851562,81.3620147705,,77.2115402222,79.0062103271,76.4075012207,78.3166046143
2053,74.8377838135,80.4326171875,,78.8224105835,76.2697906494,77.2869567871,78.1502075195
2054,73.9659042358,81.3984298706,,80.1948776245,76.9178161621,78.9139251709,76.9638519287
2055,75.0692596436,81.1519012451,,81.1519012451,76.1633911133,78.3868026733,77.3100280762
2056,73.7258529663,81.274559021,,78.7777557373,76.2492980957,78.0490875244,79.6451721191
2057,74.5031356812,81.2748336792,,78.3657073975,76.8263549805,79.7130126953,79.0891571045
2058,75.3916549683,82.7326660156,,80.7412261963,76.9057312012,80.6269683838,77.3613433838
2059,75.0341033936,81.7444458008,,78.6304244995,75.0341033936,80.7230987549,77.2587280273
2060,74.3240585327,80.8046722412,,77.5967254639,77.0428466797,77.1455078125,75.3480377197
2061,74.4889678955,83.2008972168,,79.8346405029,76.6020202637,77.5473327637,78.7432556152
2062,74.8423919678,82.4308166504,,79.5740356445,78.361038208,79.412651062,78.8076324463
2063,75.1351776123,80.609336853,,80.5225982666,76.4873809814,78.5490722656,79.1160736084
2064,74.013420105,82.0914459229,,80.3810958862,76.7538452148,80.2650299072,79.4731903076
2065,75.6574707031,81.9488449097,,78.6332244873,78.7161712646,78.4921569824,78.3300018311
2066,74.7105026245,81.0922393799,,78.0885238647,77.3683166504,80.8510360718,77.7924423218
2067,73.6157684326,80.820602417,,76.453918457,76.4514465332,78.9418334961,79.9158782959
2068,74.6359100342,81.0627975464,,77.9561386108,77.8152389526,79.5014190674,78.4840316772
2069,74.7390670776,80.8669128418,,78.3822937012,78.784072876,78.6353683472,78.3368148804
2070,75.2114257812,80.4933776855,,78.1899261475,77.7834320068,78.592300415,78.6472930908
2071,75.5542526245,81.4856109619,,78.2864990234,78.02293396,79.1496429443,78.0878143311
