OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
1171,2020,CA,CCO,LAC,CASTAIC,00228163,2020/08/01 00:00:00+00,2020/08/01 00:00:00+00,14,1,1,178.3116,,,{CA78272A-542B-4230-BFDB-DC874853C1A0},,,2020,1066001.359375,6079.35151358337
1172,2020,CA,CCO,LAC,WEST,00181840,2020/06/21 00:00:00+00,2020/06/21 00:00:00+00,14,1,1,46.83757,,,{A07269D6-8F07-423F-81CC-B9E3C1ABCD45},,,2020,281528.85546875,2371.90873965361
1173,2020,CA,CCO,LAC,3 POINTS,00198047,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,1,1,11.78609,,,{90925275-1D48-4D5B-8324-FF0025736362},,,2020,70801.65234375,1043.06249914957
1175,2020,CA,CCO,LAC,JOHNSON,00259152,2020/08/28 00:00:00+00,2020/08/29 00:00:00+00,10,1,1,291.9492,,,{5AD2331C-B590-45CA-BB2F-E636850F90CD},,,2020,1750755.3046875,7290.87199216327
1176,2020,CA,CCO,LAC,QUAIL,00306071,2020/10/09 00:00:00+00,2020/10/09 00:00:00+00,5,1,1,12.85847,,,{04484860-8962-4993-AA77-FBC6C41EAEEC},,,2020,77284.2890625,1617.63837654305
1177,2020,CA,CCO,LAC,RAYBURN,00252458,2020/08/22 00:00:00+00,2020/08/22 00:00:00+00,14,1,1,12.39058,,,{94E121AD-AFDE-427A-A43D-09A45B472B93},,,2020,74128.78125,1417.42955084624
1178,2020,CA,CCO,LAC,ACTON,00293564,2020/09/28 00:00:00+00,2020/09/28 00:00:00+00,9,1,1,13.84105,,,{3781F54C-FAEE-4CB0-9143-53DF5F7A107C},,,2020,82643.65625,1485.44842318222
1179,2020,CA,CCO,LAC,SAN DIMAS,00355402,2020/11/06 00:00:00+00,2020/11/06 00:00:00+00,7,7,1,128.1708,,,,,,2020,759180.5546875,3681.25802473587
1279,2020,CA,CCO,LAC,ELSMERE,00230295,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,14,8,1,159.2057,,,{57EB6874-9A95-46D5-B89F-44ECBBC1D67D},,,2020,947991.3671875,8008.7885737042
1404,2020,CA,CCO,LAC,TOPANGA,00216968,2020/07/22 00:00:00+00,2020/07/22 00:00:00+00,11,1,1,2.614254,,,,,,2020,15481.3984375,693.288838752859
