0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
3.6,d_19100901,96.4,67.8,0,0,0,0,0,0,0,0,0
0,d_19101001,99.9,84.7,20.7,0,0,0,0,0,0,0,0
25.2,d_19101101,74.7,44.2,0,0,0,0,0,0,0,0,0
0,d_19101201,100,99.8,76.8,51.1,14.5,0,0,0,0,0,0
84,d_19110101,0,0,0,0,0,0,16,0,0,0,0
81.5,d_19110201,0,0,0,0,0,0,18.5,0,0,0,0
15.8,d_19110301,0,0,0,0,0,0,84.2,20.8,0,0,0
35.7,d_19110401,0,0,0,0,0,0,64.3,14.3,0,0,0
39.5,d_19110501,0,0,0,0,0,0,60.5,9.4,0,0,0
37,d_19110601,0,0,0,0,0,0,63,7.1,0,0,0
32.5,d_19110701,0,0,0,0,0,0,67.5,8,0,0,0
14.9,d_19110801,0,0,0,0,0,0,85.1,15,0,0,0
0,d_19110901,0,0,0,0,0,0,100,93.4,0,0,0
30.5,d_19111001,0,0,0,0,0,0,69.5,5.9,0,0,0
73.9,d_19111101,0,0,0,0,0,0,26.2,1.4,0,0,0
0.4,d_19111201,99.7,82.5,18,0.2,0,0,0,0,0,0,0
0,d_19120101,99.9,99.9,76,27.2,0,0,0,0,0,0,0
0,d_19120201,100,100,100,99.6,72.5,0,0,0,0,0,0
64.9,d_19120301,35,7.1,0,0,0,0,0,0,0,0,0
86.6,d_19120401,13.4,2.2,0,0,0,0,0,0,0,0,0
84.4,d_19120501,15.6,3.3,0,0,0,0,0,0,0,0,0
75.5,d_19120601,24.5,6.3,0,0,0,0,0,0,0,0,0
80.3,d_19120701,19.7,5,0,0,0,0,0,0,0,0,0
94.9,d_19120801,5.1,0.2,0,0,0,0,0,0,0,0,0
97.6,d_19120901,0,0,0,0,0,0,2.4,0,0,0,0
11.7,d_19121001,0,0,0,0,0,0,88.3,29.5,0,0,0
0,d_19121101,0,0,0,0,0,0,100.1,99.9,84,29,1.4
17.9,d_19121201,82,18.2,0,0,0,0,0,0,0,0,0
2.5,d_19130101,97.4,74.2,2.7,0,0,0,0,0,0,0,0
91.5,d_19130201,0.7,0,0,0,0,0,7.9,0,0,0,0
89.9,d_19130301,10.1,0,0,0,0,0,0,0,0,0,0
85.9,d_19130401,14.1,0.7,0,0,0,0,0,0,0,0,0
82.1,d_19130501,17.9,1.4,0,0,0,0,0,0,0,0,0
90,d_19130601,10,0,0,0,0,0,0,0,0,0,0
90.8,d_19130701,9.2,0,0,0,0,0,0,0,0,0,0
100,d_19130801,0,0,0,0,0,0,0,0,0,0,0
85.6,d_19130901,0,0,0,0,0,0,14.4,0,0,0,0
68.8,d_19131001,0,0,0,0,0,0,31.2,0,0,0,0
31.6,d_19131101,68.4,13.8,0,0,0,0,0,0,0,0,0
100,d_19131201,0,0,0,0,0,0,0,0,0,0,0
0,d_19140101,0,0,0,0,0,0,100,100,83.5,8.4,0
0,d_19140201,0,0,0,0,0,0,100,100,96.4,78.4,0.3
0.4,d_19140301,0,0,0,0,0,0,99.6,97.5,60.2,2.5,0
1,d_19140401,0,0,0,0,0,0,99,97.5,55.4,0.2,0
1.1,d_19140501,0,0,0,0,0,0,98.8,97.4,63.9,2.7,0
1,d_19140601,0,0,0,0,0,0,99,97.5,68.9,3.2,0
0,d_19140701,0,0,0,0,0,0,100,97.8,88,13.3,0
0,d_19140801,0,0,0,0,0,0,99.9,97.4,47.3,0,0
0,d_19140901,0,0,0,0,0,0,100,97.7,83.2,0,0
28.4,d_19141001,0,0,0,0,0,0,71.6,0,0,0,0
0.7,d_19141101,99.2,75.2,0.3,0,0,0,0,0,0,0,0
64.9,d_19141201,0,0,0,0,0,0,35.1,5.7,0,0,0
0,d_19150101,0,0,0,0,0,0,99.9,55.1,2.5,0,0
0,d_19150201,0,0,0,0,0,0,100.1,99.9,12.2,0,0
5,d_19150301,0,0,0,0,0,0,95,29,0,0,0
1.2,d_19150401,0,0,0,0,0,0,98.9,32.7,0.6,0,0
0,d_19150501,0,0,0,0,0,0,100.1,60.6,2.3,0,0
0,d_19150601,0,0,0,0,0,0,100,65.5,2.3,0,0
0,d_19150701,0,0,0,0,0,0,100,77.6,6.9,0,0
0,d_19150801,0,0,0,0,0,0,100,99.6,17.5,0,0
0,d_19150901,0,0,0,0,0,0,100,51.8,0,0,0
58.6,d_19151001,0,0,0,0,0,0,41.3,6.8,0,0,0
81.3,d_19151101,18.7,0.6,0,0,0,0,0,0,0,0,0
85.6,d_19151201,0,0,0,0,0,0,14.4,2.2,0,0,0
0,d_19160101,0,0,0,0,0,0,100,100,86.6,58.5,16.7
2.2,d_19160201,0,0,0,0,0,0,97.7,81,29.6,0,0
5,d_19160301,0,0,0,0,0,0,95,60.3,1.2,0,0
19.5,d_19160401,0,0,0,0,0,0,80.5,41.5,0,0,0
23.8,d_19160501,0,0,0,0,0,0,76.3,36.5,0,0,0
22.6,d_19160601,0,0,0,0,0,0,77.4,36.1,0,0,0
4.4,d_19160701,0,0,0,0,0,0,95.6,53.9,0,0,0
3,d_19160801,0,0,0,0,0,0,97,61.9,0,0,0
2,d_19160901,0,0,0,0,0,0,98,65.1,0.5,0,0
99.5,d_19161001,0.5,0,0,0,0,0,0,0,0,0,0
73.7,d_19161101,26.3,0,0,0,0,0,0,0,0,0,0
7.4,d_19161201,0,0,0,0,0,0,92.6,25.5,0,0,0
11.6,d_19170101,0,0,0,0,0,0,88.5,14.2,0,0,0
10,d_19170201,0,0,0,0,0,0,90,2.9,0,0,0
97.5,d_19170301,0,0,0,0,0,0,2.5,0,0,0,0
97.5,d_19170401,0,0,0,0,0,0,2.5,0,0,0,0
97.8,d_19170501,0,0,0,0,0,0,2.2,0,0,0,0
98.4,d_19170601,0,0,0,0,0,0,1.6,0,0,0,0
100,d_19170701,0,0,0,0,0,0,0,0,0,0,0
98.5,d_19170801,0,0,0,0,0,0,1.5,0,0,0,0
96.6,d_19170901,3.4,0,0,0,0,0,0,0,0,0,0
59.3,d_19171001,40.8,17.9,2,0,0,0,0,0,0,0,0
0,d_19171101,100,100,88,57.3,0.4,0,0,0,0,0,0
0,d_19171201,100,100,94.4,66.8,2.2,0,0,0,0,0,0
0,d_19180101,99.9,99.9,99.9,99.2,66.8,0,0,0,0,0,0
25.8,d_19180201,74.3,32.7,0,0,0,0,0,0,0,0,0
90.2,d_19180301,0,0,0,0,0,0,9.8,0,0,0,0
96.6,d_19180401,0,0,0,0,0,0,3.4,0,0,0,0
96.7,d_19180501,0,0,0,0,0,0,3.3,0,0,0,0
96.3,d_19180601,0,0,0,0,0,0,3.7,0,0,0,0
90.7,d_19180701,0,0,0,0,0,0,9.3,0,0,0,0
75.1,d_19180801,0,0,0,0,0,0,24.8,1,0,0,0
2,d_19180901,0,0,0,0,0,0,98,69.8,0,0,0
0,d_19181001,0,0,0,0,0,0,100,99.8,67.9,8.9,0
0,d_19181101,0,0,0,0,0,0,100.1,100.1,88.7,9.3,0
93.5,d_19181201,0,0,0,0,0,0,6.5,0.6,0,0,0
92.5,d_19190101,7.5,0,0,0,0,0,0,0,0,0,0
66.3,d_19190201,33.8,1.3,0,0,0,0,0,0,0,0,0
68,d_19190301,32,0,0,0,0,0,0,0,0,0,0
40.9,d_19190401,59.1,5.3,0,0,0,0,0,0,0,0,0
30.3,d_19190501,69.7,8.4,0,0,0,0,0,0,0,0,0
7.6,d_19190601,92.4,31.5,0,0,0,0,0,0,0,0,0
11.3,d_19190701,88.7,21.5,0,0,0,0,0,0,0,0,0
3.9,d_19190801,96.1,39.1,1.2,0,0,0,0,0,0,0,0
48.2,d_19190901,51.8,0,0,0,0,0,0,0,0,0,0
100,d_19191001,0,0,0,0,0,0,0,0,0,0,0
92,d_19191101,0,0,0,0,0,0,8,0,0,0,0
94.1,d_19191201,5.5,0,0,0,0,0,0.4,0,0,0,0
63.8,d_19200101,36.1,0.3,0,0,0,0,0,0,0,0,0
87.1,d_19200201,12.9,0,0,0,0,0,0,0,0,0,0
99.8,d_19200301,0,0,0,0,0,0,0.2,0,0,0,0
99.9,d_19200401,0,0,0,0,0,0,0.1,0,0,0,0
99.9,d_19200501,0,0,0,0,0,0,0.1,0,0,0,0
100,d_19200601,0,0,0,0,0,0,0,0,0,0,0
100,d_19200701,0,0,0,0,0,0,0,0,0,0,0
100,d_19200801,0,0,0,0,0,0,0,0,0,0,0
100,d_19200901,0,0,0,0,0,0,0,0,0,0,0
32.5,d_19201001,0,0,0,0,0,0,67.5,15.7,0,0,0
35.4,d_19201101,0,0,0,0,0,0,64.6,33,0,0,0
38.1,d_19201201,61.9,36.5,0.3,0,0,0,0,0,0,0,0
100,d_19210101,0,0,0,0,0,0,0,0,0,0,0
61.3,d_19210201,38.7,0,0,0,0,0,0,0,0,0,0
78.9,d_19210301,21,1,0,0,0,0,0,0,0,0,0
32.8,d_19210401,67.3,2.9,0,0,0,0,0,0,0,0,0
91.7,d_19210501,8.3,0,0,0,0,0,0,0,0,0,0
95.5,d_19210601,4.5,0,0,0,0,0,0,0,0,0,0
99.1,d_19210701,0.9,0,0,0,0,0,0,0,0,0,0
99.8,d_19210801,0.2,0,0,0,0,0,0,0,0,0,0
100,d_19210901,0,0,0,0,0,0,0,0,0,0,0
86.8,d_19211001,13.1,0,0,0,0,0,0.1,0,0,0,0
70.7,d_19211101,17,1,0,0,0,0,12.3,2.2,0,0,0
0,d_19211201,0,0,0,0,0,0,99.9,99.9,99.9,93.3,16.3
0,d_19220101,0,0,0,0,0,0,100,100,100,78.9,5.8
0,d_19220201,0,0,0,0,0,0,100,100,72.6,1.2,0
0,d_19220301,0,0,0,0,0,0,100,100,9.8,0,0
0,d_19220401,0,0,0,0,0,0,100,99.9,3.3,0,0
0,d_19220501,0,0,0,0,0,0,100,100,11.1,0,0
0,d_19220601,0,0,0,0,0,0,100,100,6.5,0,0
0,d_19220701,0,0,0,0,0,0,99.9,99.9,13.8,0,0
0,d_19220801,0,0,0,0,0,0,100.1,100.1,43.3,0.9,0
99.5,d_19220901,0,0,0,0,0,0,0.5,0,0,0,0
100,d_19221001,0,0,0,0,0,0,0,0,0,0,0
99.9,d_19221101,0.1,0,0,0,0,0,0,0,0,0,0
4.8,d_19221201,0,0,0,0,0,0,95.2,35.2,0,0,0
56.8,d_19230101,0,0,0,0,0,0,43.2,0,0,0,0
100,d_19230201,0,0,0,0,0,0,0,0,0,0,0
62.7,d_19230301,37.3,0.1,0,0,0,0,0,0,0,0,0
94,d_19230401,6,0,0,0,0,0,0,0,0,0,0
81.3,d_19230501,18.7,0,0,0,0,0,0,0,0,0,0
90.7,d_19230601,9.3,0,0,0,0,0,0,0,0,0,0
