boundary,place
feature,"Los Angeles, California"
feature id,1477
center,"-118.4117, 34.0206"
scenario,Medium (RCP 4.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1999,50.761680603,53.671245575,51.0241241455,53.2849121094,51.5570373535,51.4639282227,51.8892059326
2000,50.0619621277,54.7253265381,52.3365020752,52.1713371277,52.3912277222,50.4197845459,52.5220184326
2001,50.9985466003,53.3115005493,51.7332420349,52.9519729614,52.0474090576,51.7133712769,52.2557678223
2002,51.0317230225,53.9604606628,51.4112701416,53.4181213379,52.3456878662,52.9659805298,52.2323684692
2003,50.6422042847,54.5112609863,52.8379173279,52.2484054565,50.6678009033,51.5228118896,52.4140777588
2004,50.7195510864,54.4923095703,52.7026481628,52.2359390259,52.0505447388,51.2748527527,52.0831718445
2005,51.2213516235,54.2225952148,52.8920059204,51.9333724976,53.7931365967,51.8630599976,52.3263015747
2006,50.6362724304,55.0031738281,53.3525695801,51.2698516846,53.547706604,52.536026001,52.6930770874
2007,50.5218505859,54.6979179382,,52.1494216919,53.3769226074,54.5606994629,54.4864311218
2008,50.7894210815,54.3683280945,,53.0004196167,53.6887664795,53.216960907,53.7606201172
2009,50.3512878418,54.1773834229,,53.797039032,52.818649292,53.187297821,53.341381073
2010,50.5495376587,54.365196228,,54.0213775635,53.3317680359,52.9368667603,53.1831207275
2011,51.1677932739,54.5051078796,,53.5267753601,52.8781967163,51.2199211121,53.4812393188
2012,51.485458374,54.9040756226,,53.6529006958,53.0347518921,53.5472106934,53.1913604736
2013,50.7412490845,55.1587944031,,55.1563224792,53.4932098389,52.9324150085,53.2684860229
2014,51.021068573,55.1678581238,,54.079826355,54.4418792725,53.5099639893,53.6412506104
2015,50.84715271,55.8036346436,,53.9145355225,52.2218170166,53.2719497681,53.3571472168
2016,51.1572990417,54.476600647,,52.7000541687,52.8497428894,54.1786499023,52.9444999695
2017,50.631111145,55.8202285767,,52.2087478638,53.8209915161,53.5170516968,53.5065612793
2018,51.3189620972,56.0081481934,,53.9279937744,53.3025436401,52.7251052856,52.6938476562
2019,51.7051315308,55.8462638855,,54.6533126831,52.6277084351,53.7230987549,52.5511894226
2020,51.5766448975,55.90965271,,55.3485832214,52.4079284668,52.9464225769,52.1805114746
2021,51.8929977417,56.08203125,,55.1399536133,52.0701522827,52.7317504883,52.3145980835
2022,50.7834892273,56.0203971863,,53.6853637695,53.2573928833,54.1667289734,54.1872711182
2023,51.7986831665,55.361000061,,54.0670852661,53.2740325928,53.5103530884,52.9625701904
2024,51.5272636414,55.9252548218,,53.7491378784,53.750289917,53.3212738037,53.4408073425
2025,51.1301651001,55.4280700684,,53.9617233276,53.2624969482,53.9706802368,54.3543205261
2026,51.0255203247,56.8033905029,,54.4178237915,54.1734848022,53.6446609497,54.4511642456
2027,51.0828094482,55.4235649109,,54.2793388367,53.7976989746,53.8740005493,52.8289794922
2028,51.9736938477,55.9454727173,,55.6337356567,52.4914245605,52.7627868652,53.7162322998
2029,51.7386398315,55.4720153809,,55.0366287231,52.8112335205,53.1599960327,53.924369812
2030,51.1915740967,56.1965103149,,55.2272949219,54.2896652222,54.2381973267,53.753036499
2031,51.5944976807,55.9539299011,,55.9539299011,54.3654708862,54.171672821,54.1780471802
2032,51.8068656921,56.2123260498,,55.4868469238,53.4118041992,54.8456268311,53.972984314
2033,51.7790145874,56.174041748,,54.6050262451,55.0465164185,52.8485336304,53.3511581421
2034,51.2038803101,56.7975692749,,55.2380065918,54.9197311401,54.2271537781,54.6250228882
2035,52.2599945068,55.6623001099,,55.3868179321,54.4151306152,53.2692565918,54.779876709
2036,51.7935180664,56.5268669128,,56.5198898315,54.2984008789,54.3971672058,54.8811149597
2037,51.9682006836,56.2738494873,,55.4132919312,54.6762771606,53.5857696533,54.9374198914
2038,52.1361236572,56.6454620361,,54.6720428467,53.6816825867,54.1083374023,54.4471549988
2039,52.8160171509,55.9541473389,,55.7242584229,53.8679008484,53.855758667,55.6828422546
2040,52.4679679871,56.7725219727,,55.0165214539,53.9749069214,53.3083648682,54.3446502686
2041,52.3845291138,57.2109832764,,56.2666015625,53.1248931885,56.0243530273,55.3935699463
2042,52.3410186768,56.9938964844,,54.6941299438,54.2684631348,55.0099868774,55.6457061768
2043,52.4520378113,56.625579834,,55.9735946655,55.3418807983,56.3031311035,53.9587554932
2044,52.3776054382,57.5547485352,,55.3438568115,54.2097930908,55.9510192871,54.5431747437
2045,51.6753616333,57.2420196533,,55.329246521,53.5161209106,54.4760513306,55.3138122559
2046,52.5896987915,57.9639892578,,55.3729171753,53.7225494385,54.3822250366,54.711101532
2047,52.2735671997,57.9049377441,,54.8975944519,54.9667510986,55.2842025757,55.9490966797
2048,51.8812408447,57.5081634521,,55.9240493774,55.3639640808,55.0849113464,54.8299713135
2049,52.2286834717,57.3003616333,,55.206199646,55.3948364258,54.7298355103,54.4066162109
2050,52.2171478271,57.1775894165,,56.6700210571,55.1333618164,54.7456512451,55.6772918701
2051,52.0819091797,57.3493041992,,56.0655517578,54.8915519714,54.6262321472,54.729888916
2052,52.6334228516,58.4574966431,,55.0701370239,54.8138237,55.1758804321,55.332321167
2053,53.2894706726,57.3662223816,,55.992767334,54.4579238892,55.3692932129,55.5879211426
2054,53.7239227295,58.3682861328,,56.3656425476,55.2149887085,55.9649162292,55.6501579285
2055,52.7270278931,57.9619560242,,57.9619560242,55.2114181519,56.3422966003,55.2885971069
2056,52.9860305786,57.462020874,,56.2964286804,54.0068778992,55.1151809692,55.8439025879
2057,52.5424003601,58.5404434204,,55.7712249756,53.5627555847,56.7287979126,54.9083061218
2058,53.1114349365,58.8762359619,,57.8115005493,54.3225708008,56.5840530396,54.2368240356
2059,53.1505508423,58.7105636597,,57.1978569031,54.3281707764,57.5233840942,54.9970207214
